,dates,mean,var,stdev,Q5,Q25,Q75,Q95
0,2021-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-11,0.3503040121144899,0.3472808789222986,0.5893054207474241,-0.6191034050150227,-0.04747714689002136,0.7480851711190012,1.3197114292440024
10,2021-11-12,1.0333968357373697,1.0188782385819009,1.0093949864061644,-0.6270579169007708,0.35205521991320865,1.714738451561531,2.6938515883755105
11,2021-11-13,2.012988553014161,1.9747051773979798,1.4052420351661772,-0.2986345948342004,1.0644501792769914,2.961526926751331,4.324611700862523
12,2021-11-14,3.782345480441609,3.6685964448239647,1.9153580461166952,0.6315814945796454,2.4894787993128396,5.075212161570379,6.933109466303573
13,2021-11-15,6.161785581231123,5.912175927048113,2.4314966434375584,2.161973602776339,4.520525346910771,7.803045815551474,10.161597559685907
14,2021-11-16,8.970214007887026,8.53050351088347,2.9207025714515114,4.16565827784929,6.998739772157256,10.941688243616797,13.774769737924764
15,2021-11-17,12.063160614866034,11.39115439551476,3.3750784280538966,6.511156600717373,9.784982675929653,14.341338553802414,17.615164629014693
16,2021-11-18,15.326187498620877,14.393379947572283,3.79386082343202,9.085286444075205,12.765331442804264,17.88704355443749,21.56708855316655
17,2021-11-19,18.669433365440227,17.460320847726052,4.178554875519293,11.795710595210991,15.848908824464704,21.48995790641575,25.543156135669463
18,2021-11-20,22.023100654794717,20.53335775415975,4.531374819429502,14.568989076833187,18.964422651679804,25.08177865790963,29.477212232756248
19,2021-11-21,25.333724741565355,23.56796406651766,4.854684754597116,17.3477683202531,22.0568125322123,28.61063695091841,33.319681162877615
20,2021-11-22,28.561092080996183,26.53061979904548,5.15078826967732,20.088045377376993,25.08430999896399,32.03787416302838,37.03413878461537
21,2021-11-23,31.675696899504853,29.39648058091109,5.421852135655406,22.75675013635171,28.015946707937452,35.335447091072254,40.594643662658
22,2021-11-24,34.6566448302733,32.14758933376219,5.66988441978866,25.329684959720954,30.829472846915955,38.483816813630646,43.98360470082565
23,2021-11-25,37.489927439136885,34.771482819878756,5.8967349287447846,27.789798481351713,33.50963136223415,41.47022351603962,47.19005639692206
24,2021-11-26,40.16700446438967,37.26008984040418,6.104104343833268,30.125752818783944,36.04673403230221,44.28727489647713,50.208256109995396
25,2021-11-27,42.68364126626894,39.60884855910757,6.2935561139237945,32.3307414588643,38.43549088937038,46.93179164316751,53.03654107367358
26,2021-11-28,45.03895783836324,41.81599154073773,6.466528554080445,34.4015183669009,40.674051064358935,49.40386461236754,55.676397309825575
27,2021-11-29,47.23465307929107,43.88196160944333,6.624346126935347,36.337603700482425,42.763219443609714,51.70608671497243,58.13170245809972
28,2021-11-30,49.274374139231575,45.80893164343747,6.768229579693457,38.14063648063584,44.70581917293849,53.84292910552466,60.40811179782731
29,2021-12-01,51.163205725810165,47.60040833390028,6.899304916721705,39.81384913780296,46.506174907023016,55.820236544597314,62.51256231381737
30,2021-12-02,52.90725848401285,49.26090475890153,7.0186113127100525,41.36164287460481,48.16969584793357,57.64482112009213,64.45287409342089
31,2021-12-03,54.513339080499925,50.79567001448922,7.127108110200743,42.7892462392197,49.702541106114424,59.324137054885426,66.23743192178014
32,2021-12-04,55.988687549662,52.210466567535754,7.225681045239663,44.10244223024275,51.11135284412522,60.86602225519877,67.87493286908125
33,2021-12-05,57.34076989904268,53.51138776268037,7.315147829174771,45.30735172005018,52.40304511434971,62.278494683735644,69.37418807803517
